CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000604,MASTER DONUTS,1159 MOHAWK BLVD,SPRINGFIELD,OR,97477-4131,USA,,,,,,,,,
1000608,WESTERNCO DONUT - EV,209 E CASINO RD,EVERETT,WA,98208-2610,USA,,,,,,,,,
1000609,CASTLE ROCK BAKERY,854 WOODSIDE DR,LONGVIEW,WA,98632-9671,USA,,,,,,,,,
1000611,GENO'S COFFEE SHOP &,11620 AMBAUM BLVD SW,BURIEN,WA,98146-2641,USA,,,,,,,,,
1000612,TM DESSERT WORKS INC,6116 PHINNEY AVE N,SEATTLE,WA,98103-5514,USA,,,,,,,,,
1000613,WESTERNCO'S DONUT HO,7500 15TH AVE NW,SEATTLE,WA,98117-5409,USA,,,,,,,,,
1000614,FAMILY DOUGHNUT SHOP,2100 N NORTHGATE WAY,SEATTLE,WA,98133-9017,USA,,,,,,,,,
1000615,CHANNA HAY,12844 72ND AVE S,SEATTLE,WA,98178-4731,USA,,,,,,,,,
1000616,COFFARO'S BAKING CO,1812 B ST NW,AUBURN,WA,98001-1652,USA,,,,,,,,,
1000617,OLD COUNTRY BAKERY,900 160TH AVE NE,BELLEVUE,WA,98008-3939,USA,,,,,,,,,
1000619,COLLECTIONS THE DECO,15920 S MERRY LEE DR,OREGON CITY,OR,97045-9018,USA,,,,,,,,,
1000621,BELLAS ARTES II,5320 MCKINLEY AVE,TACOMA,WA,98404-2724,USA,,,,,,,,,
1000622,COLLECTIONS WESTERNC,405 CENTRAL AVE N,KENT,WA,98032-4514,USA,,,,,,,,,
1000624,LE PATISSIER LLC,956 NW CIRCLE BLVD,CORVALLIS,OR,97330-1410,USA,,,,,,,,,
1000625,A TASTE OF EDEN BAKE,438 N MARKET BLVD,CHEHALIS,WA,98532-2628,USA,,,,,,,,,
1000627,XTRA SPECIAL CAKES,919 W DIVISION ST,MOUNT VERNON,WA,98273-3225,USA,,,,,,,,,
1000629,CAKES BE WE,110 S 4TH AVE,PASCO,WA,99301-5507,USA,,,,,,,,,
1000630,CELEBRITY CAKE STUDI,314 E 26TH ST,TACOMA,WA,98421,USA,,,,,,,,,
1000631,DARREN'S DONUTS,1800 RIVERSIDE DR,MOUNT VERNON,WA,98273-5471,USA,,,,,,,,,
1000632,PUERTO BARRIOS INC,9955 SW BEAVERTON HILLSDALE HWY,BEAVERTON,OR,97005-3228,USA,,,,,,,,,
1000634,ROMAN RUSSIAN FOOD S,10918 SE DIVISION ST,PORTLAND,OR,97266-1259,USA,,,,,,,,,
1000635,SUNSHINE CORNER NUTR,15220 SE 272ND ST,KENT,WA,98042-4241,USA,,,,,,,,,
1000637,COLLECTIONS AARON BR,1442 COLE ST,ENUMCLAW,WA,98022-3018,USA,,,,,,,,,
